Period,London_5_eur,EUREP,STDEV,Region 1,Region 2,Region 3,EU Average Short term contracts,Region 1 Short term contracts,Region 2 Short term contracts,Region 3 Short term contracts,EU Average (weights),Region 1 (weights),Region 2 (weights),Region 3 (weights),EU Average Short term contracts (weights),Region 1 Short term contracts (weights),Region 2 Short term contracts (weights),Region 3 Short term contracts (weights),,,EU reported prices (to Nov 22)
01/06/2010,€ 452.94,€ 476.00,€ 24.00,,,,,,,,,,,,,,,,,,
01/05/2010,€ 434.21,€ 479.00,€ 25.00,,,,,,,,,,,,,,,,,,
01/04/2010,€ 465.86,€ 477.00,€ 24.00,,,,,,,,,,,,,,,,,,
01/03/2010,€ 489.51,€ 477.00,€ 24.00,,,,,,,,,,,,,,,,,,
01/02/2010,€ 590.61,€ 474.00,€ 27.00,,,,,,,,,,,,,,,,,,
01/01/2010,€ 604.31,€ 479.00,€ 19.00,,,,,,,,,,,,,,,,,,
01/12/2009,€ 561.52,€ 495.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/11/2009,€ 541.29,€ 493.00,€ 29.00,,,,,,,,,,,,,,,,,,
01/10/2009,€ 550.97,€ 499.00,€ 30.00,,,,,,,,,,,,,,,,,,
01/09/2009,€ 553.15,€ 555.00,€ 23.00,,,,,,,,,,,,,,,,,,
01/08/2009,€ 549.05,€ 561.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/07/2009,€ 476.73,€ 562.00,€ 21.00,,,,,,,,,,,,,,,,,,
01/06/2009,€ 452.04,€ 563.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/05/2009,€ 439.72,€ 566.00,€ 19.00,,,,,,,,,,,,,,,,,,
01/04/2009,€ 402.75,€ 564.00,€ 23.00,,,,,,,,,,,,,,,,,,
01/03/2009,€ 391.67,€ 567.00,€ 21.00,,,,,,,,,,,,,,,,,,
01/02/2009,€ 384.46,€ 551.00,€ 32.00,,,,,,,,,,,,,,,,,,
01/01/2009,€ 363.95,€ 564.00,€ 30.00,,,,,,,,,,,,,,,,,,
01/12/2008,€ 343.04,€ 574.00,€ 36.00,,,,,,,,,,,,,,,,,,
01/11/2008,€ 349.24,€ 574.00,€ 32.00,,,,,,,,,,,,,,,,,,
01/10/2008,€ 352.80,€ 578.00,€ 32.00,,,,,,,,,,,,,,,,,,
01/09/2008,€ 403.63,€ 595.00,€ 28.00,,,,,,,,,,,,,,,,,,
01/08/2008,€ 413.54,€ 601.00,€ 25.00,,,,,,,,,,,,,,,,,,
01/07/2008,€ 400.01,€ 598.00,€ 30.00,,,,,,,,,,,,,,,,,,
01/06/2008,€ 375.84,€ 607.00,€ 20.00,,,,,,,,,,,,,,,,,,
01/05/2008,€ 358.48,€ 606.00,€ 23.00,,,,,,,,,,,,,,,,,,
01/04/2008,€ 363.36,€ 603.00,€ 26.00,,,,,,,,,,,,,,,,,,
01/03/2008,€ 366.95,€ 604.00,€ 25.00,,,,,,,,,,,,,,,,,,
