LAST UPDATE,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,coicop_description,hicp_201710.OBS_VALUE
18/08/2023 11:00,I05,CP00,BE,01/05/2011,115.16,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2011,115.54,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2011,114.25,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2011,115.95,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2011,115.85,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2011,116,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2011,116.46,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2011,116.77,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2012,115.32,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2012,118.12,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2012,118.25,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2012,118.3,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2012,118.19,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2012,118.05,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2012,116.52,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/08/2012,118.97,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/09/2012,118.87,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/10/2012,119.08,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/11/2012,118.99,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/12/2012,119.2,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/01/2013,117.02,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/02/2013,119.92,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/03/2013,119.92,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/04/2013,119.73,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/05/2013,119.63,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/06/2013,119.98,All-items HICP,126.33
18/08/2023 11:00,I05,CP00,BE,01/07/2013,118.44,All-items HICP,126.33
